"Rank","Tier","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"105","undefined","","Sterling Shepard","NYG","WR42","11","85","113","101.3","11.5","82.0","-23.0"
"106","undefined","","Russell Wilson","SEA","QB12","11","82","112","101.5","11.7","88.0","-18.0"
"107","undefined","","Tevin Coleman","SF","RB41","4","84","119","102.0","12.6","63.0","-44.0"
"108","undefined","","Marvin Jones","DET","WR43","5","91","119","105.5","11.8","93.0","-15.0"
"109","undefined","","Chris Thompson","WAS","RB42","10","93","126","107.3","12.2","225.0","+116.0"
"110","undefined","","Josh Allen","BUF","QB13","6","105","110","108.0","1.9","175.0","+65.0"
"111","undefined","","Robby Anderson","NYJ","WR44","4","97","147","112.0","20.4","76.0","-35.0"
"112","undefined","","Terry McLaurin","WAS","WR45","10","85","151","114.5","29.1","345.0","+233.0"
"113","undefined","","Marquez Valdes-Scantling","GB","WR46","11","81","140","115.0","21.4","109.0","-4.0"
"114","undefined","","Peyton Barber","TB","RB43","7","92","143","116.0","18.1","117.0","+3.0"
"115","undefined","","Greg Olsen","CAR","TE13","7","94","133","116.5","17.0","139.0","+24.0"
"116","undefined","","Jamison Crowder","NYJ","WR47","4","103","129","118.3","10.0","140.0","+24.0"
"117","undefined","","D.K. Metcalf","SEA","WR48","11","96","134","119.0","14.5","137.0","+20.0"
"118","undefined","","Philip Rivers","LAC","QB14","12","114","125","119.8","4.4","125.0","+7.0"
"119","undefined","","Cam Newton","CAR","QB15","7","110","131","120.5","8.1","90.0","-29.0"
"120","undefined","","Justin Jackson","LAC","RB44","12","118","130","122.5","4.7","129.0","+9.0"
"121","undefined","","Jared Cook","NO","TE14","9","107","149","123.5","15.6","73.0","-48.0"
"122","undefined","","D.J. Chark","JAC","WR49","10","101","168","124.0","26.3","315.0","+193.0"
"123","undefined","","Jameis Winston","TB","QB16","7","102","157","124.3","20.4","116.0","-7.0"
"124","undefined","","Dede Westbrook","JAC","WR50","10","117","145","125.8","11.3","77.0","-47.0"
"125","undefined","","Corey Davis","TEN","WR51","11","90","179","126.5","35.3","89.0","-36.0"
"126","undefined","","Golden Tate","NYG ","WR52","11","111","139","130.8","11.5","131.0","+5.0"
"127","undefined","","Michael Gallup","DAL ","WR53","8","108","149","133.0","16.6","119.0","-8.0"
"128","undefined","","Geronimo Allison","GB","WR54","11","82","166","135.3","32.0","111.0","-17.0"
"129","undefined","","Frank Gore","BUF","RB45","6","123","144","136.0","8.0","212.0","+83.0"
"130","undefined","","Jimmy Graham","GB","TE15","11","134","144","136.8","4.2","157.0","+27.0"
"131","undefined","","Raheem Mostert","SF","RB46","4","117","165","137.0","19.7","1,043.0","+912.0"
"132","undefined","","Courtland Sutton","DEN","WR55","10","104","156","138.0","21.0","103.0","-29.0"
"133","undefined","","Ronald Jones II","TB","RB47","7","131","155","138.0","9.9","145.0","+12.0"
"134","undefined","","Eric Ebron","IND","TE16","6","129","163","141.3","13.5","92.0","-42.0"
"135","undefined","","Will Dissly","SEA","TE17","11","127","158","144.5","11.4","332.0","+197.0"
"136","undefined","","Kirk Cousins","MIN","QB17","12","115","219","144.8","43.1","141.0","+5.0"
"137","undefined","","Rex Burkhead","NE","RB48","10","128","163","145.0","14.8","258.0","+121.0"
"138","undefined","","Jordan Howard","PHI","RB49","10","121","174","146.0","20.8","94.0","-44.0"
"139","undefined","","Alexander Mattison","MIN","RB50","12","122","181","146.0","21.9","159.0","+20.0"
"140","undefined","","James Washington","PIT","WR56","7","130","159","146.5","11.7","112.0","-28.0"
"141","undefined","","Kalen Ballage","MIA","RB51","5","120","178","148.8","24.3","124.0","-17.0"
"142","undefined","","Jaylen Samuels","PIT","RB52","7","120","174","150.5","20.0","123.0","-19.0"
"143","undefined","","Dion Lewis","TEN","RB53","11","132","169","150.8","13.2","128.0","-15.0"
"144","undefined","","Matthew Stafford","DET","QB18","5","135","163","150.8","10.1","179.0","+35.0"
"145","undefined","","Jimmy Garoppolo","SF","QB19","4","126","172","152.0","16.9","165.0","+20.0"
"146","undefined","","Trey Burton","CHI","TE18","6","139","161","152.0","8.0","143.0","-3.0"
"147","undefined","","Justice Hill","BAL","RB54","8","145","168","156.3","9.2","149.0","+2.0"
"148","undefined","","Giovani Bernard","CIN","RB55","9","137","185","158.0","19.2","198.0","+50.0"
"149","undefined","","Jordan Reed","WAS","TE19","10","138","173","160.8","14.1","163.0","+14.0"
"150","undefined","","Keke Coutee","HOU","WR57","10","124","175","161.0","21.4","148.0","-2.0"
"151","undefined","","Tony Pollard","DAL","RB56","8","148","186","164.0","14.4","121.0","-30.0"
"152","undefined","","Andy Dalton","CIN","QB20","9","113","271","165.3","62.2","226.0","+74.0"
"153","undefined","","Mohamed Sanu","ATL","WR58","9","149","180","165.5","12.9","172.0","+19.0"
"154","undefined","","Mike Davis","CHI","RB57","6","139","177","165.8","15.5","237.0","+83.0"
"155","undefined","","Mecole Hardman","KC","WR59","12","133","194","166.3","21.9","169.0","+14.0"
"156","undefined","","Marquise Goodwin","SF","WR60","4","141","191","166.8","18.5","183.0","+27.0"
"157","undefined","","Ito Smith","ATL","RB58","9","142","199","168.8","20.7","156.0","-1.0"
"158","undefined","","Chris Herndon IV","NYJ ","TE20","4","136","235","169.5","38.7","220.0","+62.0"
"159","undefined","","Tyler Eifert","CIN","TE21","9","140","209","170.3","24.9","211.0","+52.0"
"160","undefined","","Demarcus Robinson","KC","WR61","12","122","254","171.0","50.9","287.0","+127.0"
"161","undefined","","Jamaal Williams","GB","RB59","11","140","227","171.0","34.7","235.0","+74.0"
"162","undefined","","Devante Parker","MIA","WR62","5","155","186","171.3","12.4","232.0","+70.0"
"163","undefined","","Derrius Guice","WAS ","RB60","10","148","192","171.5","16.9","74.0","-89.0"
"164","undefined","","Hunter Henry","LAC ","TE22","12","108","246","172.5","63.0","67.0","-97.0"
"165","undefined","","Nelson Agholor","PHI","WR63","10","148","205","175.3","21.4","239.0","+74.0"
"166","undefined","","Darwin Thompson","KC","RB61","12","158","189","176.3","13.0","160.0","-6.0"
"167","undefined","","Dallas Goedert","PHI","TE23","10","153","216","177.0","24.1","202.0","+35.0"
"168","undefined","","C.J. Anderson","FA","RB62","","123","215","178.3","33.8","197.0","+29.0"
"169","undefined","","Anthony Miller","CHI","WR64","6","139","217","179.5","28.9","134.0","-35.0"
"170","undefined","","Darrell Henderson","LAR","RB63","9","152","192","180.8","16.7","100.0","-70.0"
"171","undefined","","A.J. Brown","TEN","WR65","11","143","233","181.8","32.4","257.0","+86.0"
"172","undefined","","Ted Ginn","NO","WR66","9","152","208","183.5","20.1","210.0","+38.0"
"173","undefined","","Gus Edwards","BAL","RB64","8","121","238","184.5","43.7","273.0","+100.0"
"174","undefined","","Jacoby Brissett","IND","QB21","6","136","165","154.3","13.0","217.0","+43.0"
"175","undefined","","Mason Rudolph","PIT","QB22","7","125","206","156.0","35.7","790.0","+615.0"
"176","undefined","","Chicago (CHI)","","DST1","6","127","250","187.5","54.5","84.0","-92.0"
"177","undefined","","Kyle Rudolph","MIN","TE24","12","142","185","160.3","18.1","152.0","-25.0"
"178","undefined","","Mitch Trubisky","CHI","QB23","6","124","208","160.7","35.1","154.0","-24.0"
"179","undefined","","Danny Amendola","DET","WR67","5","176","203","190.5","9.6","253.0","+74.0"
"180","undefined","","Drew Brees","NO ","QB24","9","128","276","191.0","53.5","80.0","-100.0"
"181","undefined","","Trey Quinn","WAS","WR68","10","180","216","191.8","14.2","278.0","+97.0"
"182","undefined","","Tre'Quan Smith","NO","WR69","9","184","196","192.3","4.8","188.0","+6.0"
"183","undefined","","Noah Fant","DEN","TE25","10","153","246","193.8","33.9","194.0","+11.0"
"184","undefined","","Kenny Stills","HOU","WR70","10","151","226","194.0","28.5","193.0","+9.0"
"185","undefined","","Nyheim Hines","IND","RB65","6","166","216","194.5","18.1","138.0","-47.0"
"186","undefined","","Donte Moncrief","PIT","WR71","7","160","231","197.0","25.2","126.0","-60.0"
"187","undefined","","Derek Carr","OAK","QB25","6","130","275","198.3","57.4","174.0","-13.0"
"188","undefined","","Preston Williams","MIA","WR72","5","178","231","199.5","19.4","274.0","+86.0"
"189","undefined","","Albert Wilson","MIA","WR73","5","181","227","200.3","16.7","204.0","+15.0"
